,Title,Sector,Condition,Location,Type
0,제라(주),섬유·의류·패션,"경력무관
학력무관",대구 서구,정규직
1,NR지엔씨,화학·에너지연구소·R&D,"신입 · 경력
대학교(4년)↑",경기 수원시 영통구,정규직
2,씨제이포디플렉스(주),인사·교육·노무,"경력
대학교(4년)↑",충북 청주시,정규직
3,(주)서울아카데미,초중고·특수학교학원관리·운영·상담 외,"경력무관
대학교(4년)↑",서울 강남구,정규직 · 계약직
4,(주) 더 샵,기계·기계설비생산관리·품질관리 외,"경력무관
학력무관",대구 달서구,정규직
5,(주)비에이치데이타시스템,영업기획·관리·지원고객센터·CS 외,"경력무관
대학(2,3년)↑",서울 동대문구,정규직
6,(주)맨파워코리아,사무보조·문서작성마케팅·광고·분석 외,"신입 · 경력
학력무관",서울 강남구,정규직
7,(주)엘씨드인터내셔널,마케팅·광고·분석생산관리·품질관리 외,"1 ~ 10년
학력무관",서울 강남구,정규직
8,(주)비책,동영상·편집·코덱카메라·조명·미술 외,"경력 2년↑
학력무관",서울 강남구,정규직
9,써미트리,해외영업·무역영업마케팅·광고·분석 외,"경력무관
학력무관",서울 금천구,정규직
10,머스트컬러,컨텐츠·사이트운영웹디자인 외,"신입 · 경력
학력무관",서울 중랑구,정규직
11,정진국제특허법률사무소,법률·특허·상표,"경력 1년↑
대학교(4년)↑",서울 구로구,정규직
12,(주)함샤우트글로벌,홍보·PR·사보마케팅·광고·분석 외,"신입
대학교(4년)↑",서울 마포구,정규직
13,(주)맨파워그룹코리아,물류·유통·운송,"경력무관
학력무관",인천 중구,계약직 · 아르바이트
14,(주)스마트스코어,기획·전략·경영서버·네트워크·보안 외,"경력
학력무관",서울 강남구,정규직
15,(주)파스토,물류·유통·운송,"경력무관
학력무관",경기 용인시 처인구,정규직
16,씨피시스템㈜,설계·CAD·CAM연구소·R&D,"경력 3년↑
대학교(4년)↑",부산 기장군,정규직
17,법무법인청신 경기분사무소,회계·재무·세무·IR세무·회계·CPA,"신입 · 경력
대학(2,3년)↑",경기 의왕시,정규직
18,저스트핏 대치점,레저·스포츠,"경력무관
학력무관",서울 강남구,정규직 · 파트
19,(주)중앙제이유엠피,총무·법무·사무경리·출납·결산 외,"경력무관
학력무관",서울 마포구,계약직 · 파견직
20,(주)영종웨스트클라우드,호텔·카지노·콘도,"경력무관
대학(2,3년)↑",인천 중구,정규직
21,(주)반석수학,초중고·특수학교입시·보습·속셈학원,"1 ~ 10년
대학교(4년)↑",서울 서초구,계약직
22,주식회사 마케팅모먼트,웹디자인,"경력무관
학력무관",서울 금천구,정규직
23,(주)맨파워그룹코리아,마케팅·광고·분석,"신입 · 경력
대학교(4년)↑",서울 강남구,계약직 · 파견직
24,죽산개발(주),레저·스포츠,"경력무관
학력무관",경기 안성시,정규직
25,목림상사(주),구매·자재·재고생산·제조·포장·조립,"경력무관
고졸↑",대전 대덕구,정규직
26,에이프로논술학원,입시·보습·속셈학원,"경력무관
대학교(4년)↑",서울 강남구,정규직 · 프리랜서
27,(주)커팅엣지,그래픽디자인·CG디자인기타 외,"신입 · 경력
대학(2,3년)↑",서울 강남구,정규직
28,따뜻한컴퍼니,광고·시각디자인,"신입 · 경력
대학(2,3년)↑",서울 금천구,정규직
29,하나카드(주),제품·산업디자인광고·시각디자인,"2 ~ 8년
대학교(4년)↑",서울 중구,계약직
30,주식회사 화요,홍보·PR·사보,"7 ~ 10년
대학교(4년)↑",서울 송파구,정규직
31,(주)메디젠휴먼케어,기획·전략·경영바이오·제약·식품 외,"경력 2년↑
대학교(4년)↑",서울 강남구,정규직
32,더리본(주),기획·전략·경영웨딩·행사·이벤트 외,"경력무관
학력무관",서울 강북구,정규직 · 위촉직
33,(주)유엑스스토리,웹개발응용프로그램개발 외,"신입 · 경력
학력무관",서울 금천구,정규직
34,에이프로논술학원,학원관리·운영·상담,"경력 1년↑
대학(2,3년)↑",서울 강남구,정규직 · 파트
35,(주)메타넷엠플랫폼,사무보조·문서작성인사·교육·노무 외,"경력무관
고졸↑",서울 중구,정규직
36,주식회사아울인베스트,증권·투자·펀드·외환,"경력무관
학력무관",대전 서구,정규직 · 계약직
37,맨파워코리아,인사·교육·노무영업기획·관리·지원,"경력무관
대학교(4년)↑",경남 창원시,정규직
38,맨파워코리아,생산·제조·포장·조립연구소·R&D,"경력무관
학력무관",경남 진주시,계약직 · 아르바이트
39,엠토(주),금속·금형,"경력무관
학력무관",경남 김해시,정규직
40,(주)지피지기소프트,웹기획·PM,"신입 · 경력
고졸↑",서울 강남구,정규직
41,(주)두타위즈,ERP·시스템분석·설계,"신입 · 경력
대학(2,3년)↑",서울 금천구,정규직
42,(주)비티아즈,마케팅·광고·분석,"1 ~ 10년
대학교(4년)↑",서울 마포구,정규직
43,씨엠테크(주),화학·에너지,"경력 5년↑
대학교(4년)↑",경기 평택시,정규직
44,(주)코앤컴,의류·패션·잡화디자인고객센터·CS 외,"경력 2년↑
학력무관",서울 강남구,정규직
45,리드정보기술㈜,웹개발응용프로그램개발,"신입 · 경력
대학교(4년)↑",서울 영등포구,정규직
46,스톰데이즈,고객센터·CS웹디자인,"신입 · 경력
학력무관",서울 마포구,정규직
47,(주)맨파워그룹코리아,물류·유통·운송영업기획·관리·지원,"경력무관
학력무관",전남 순천시,계약직
48,씨피시스템㈜,생산·제조·포장·조립,"경력무관
학력무관",부산 기장군,정규직
49,(주)연암조경,총무·법무·사무현장·시공·감리·공무,"경력무관
고졸↑",경기 안성시,정규직
50,(주)퍼스트인코리아,생산·제조·포장·조립,"경력무관
학력무관",경남 양산시,계약직
51,에스디피브이(주),생산관리·품질관리생산·제조·포장·조립,"신입 · 경력
고졸↑",전남 강진군,정규직
52,(주)엔에스파트너스,경리·출납·결산비서·안내·수행원 외,"경력 1년↑
학력무관",인천 연수구,정규직
53,서로국어논술학원,초중고·특수학교,"신입 · 경력
대학교(4년)↑",경기 화성시,파트 · 전임
54,주식회사 신진에스코,회계·재무·세무·IR,"신입
학력무관",경기 화성시,정규직
55,(주)시스콘,전기·전자·제어시스템개발,"경력 3년↑
대학교(4년)↑",인천 서구,정규직
56,주식회사 서진로지스,납품·배송·택배일반영업 외,"경력무관
학력무관",경기 광명시,정규직 · 계약직
57,(주)아이비파트너,상품기획·MD영업기획·관리·지원 외,"신입 · 경력
학력무관",서울 강남구,정규직
58,(주)팝펀미디어,캐릭터·만화·애니동영상·편집·코덱 외,"경력무관
대학(2,3년)↑",서울 성동구,정규직
59,(주)원우종합건설,경리·출납·결산,"2 ~ 8년
대학(2,3년)↑",부산 수영구,정규직
60,㈜화인매카트로닉스,기계·기계설비생산·제조·포장·조립,"경력무관
고졸↑",경기 성남시 중원구,정규직 · 계약직
61,미래에셋벤처투자(주),총무·법무·사무회계·재무·세무·IR,"신입 · 경력
대학교(4년)↑",서울 강남구,계약직
62,기율특허법률사무소,총무·법무·사무비서·안내·수행원 외,"경력무관
대학(2,3년)↑",서울 영등포구,정규직
63,(유)브라이튼정상,외국어·어학원,"경력무관
대학교(4년)↑",광주 남구,정규직 · 파트
64,사파이어 주식회사,회계·재무·세무·IR,"3 ~ 5년
대학(2,3년)↑",경기 안산시 단원구,정규직
65,세무법인다름,회계·재무·세무·IR세무·회계·CPA,"3 ~ 20년
학력무관",서울 강남구,정규직
66,(주)제이케이푸드,생산관리·품질관리,"경력 3년↑
대학교(4년)↑",충북 음성군,정규직
67,아이티스코,웹개발,"신입 · 경력
학력무관",대구 수성구,정규직
68,(주)네오에이인터내셔날,상품기획·MD기획·전략·경영 외,"1 ~ 7년
대학교(4년)↑",서울 강남구,정규직
69,맨파워코리아,인사·교육·노무서버·네트워크·보안 외,"1 ~ 4년
대학교(4년)↑",경기 용인시 기흥구,정규직
70,(주)크렐로,기획·전략·경영마케팅·광고·분석 외,"경력무관
대학교(4년)↑",서울 금천구,정규직
71,(주)큐브원,생산·제조·포장·조립바이오·제약·식품,"경력무관
학력무관",경기 이천시,정규직 · 계약직
72,디엘이앤씨(주),현장·시공·감리·공무,"경력 3년↑
학력무관",경기 파주시,계약직
73,간호조무사협회,총무·법무·사무,"신입 · 경력
대학(2,3년)↑",경기 수원시 권선구,계약직
74,(주)맨파워그룹코리아,물류·유통·운송영업기획·관리·지원,"경력무관
학력무관",경기 고양시 덕양구,계약직
75,(주)맨파워그룹코리아,총무·법무·사무사무보조·문서작성,"신입 · 경력
학력무관",서울 종로구,파견직
76,(주)맨파워그룹코리아,영업기획·관리·지원TM·인바운드 외,"경력무관
학력무관",경기 안양시 만안구,파견직
77,비엘엔에이치(주),인사·교육·노무,"신입 · 경력
대학교(4년)↑",서울 금천구,정규직
78,성동ECC어학원,외국어·어학원,"경력 1년↑
대학교(4년)↑",서울 성동구,정규직
79,강하이수학교습소,입시·보습·속셈학원,"경력무관
대학교(4년)↑",부산 해운대구,파트 · 계약직
80,(주)소무디자인,건축·인테리어·설계,"신입 · 경력
대학(2,3년)↑",서울 서초구,정규직 · 계약직
81,올릭스 주식회사,바이오·제약·식품,"경력무관
학력무관",경기 수원시 영통구,정규직
82,(주)창마루,기술영업,"신입 · 경력
고졸↑",경기 화성시,정규직
83,재마니김밥,외식·식음료,"경력무관
학력무관",부산 해운대구,정규직
84,로빈ICT,응용프로그램개발,"신입 · 경력
대학교(4년)↑",대전 유성구,정규직
85,(주)에스텍플러스,물류·유통·운송생산관리·품질관리 외,"경력무관
학력무관",경기 김포시,정규직
86,(주)테이아,제품·산업디자인전시·공간디자인 외,"경력무관
대학(2,3년)↑",서울 강남구,정규직 · 계약직
87,선우유통,물류·유통·운송경리·출납·결산 외,"신입 · 경력
고졸↑",서울 강서구,정규직 · 계약직
88,세원건설(주),설계·CAD·CAM토목·조경·도시·측량 외,"3 ~ 15년
대학(2,3년)↑",전국,정규직
89,누리테크,생산·제조·포장·조립,"경력무관
고졸↑",경기 안산시 단원구,정규직
90,(주)웹플래너,교육기획·교재,"경력무관
대학(2,3년)↑",서울 용산구,정규직
91,삼정크린마스터(주),물류·유통·운송납품·배송·택배,"경력무관
학력무관",경기 김포시,정규직
92,(주)대교씨엔에스,웹개발응용프로그램개발 외,"1 ~ 8년
대학(2,3년)↑",서울 관악구,정규직
93,(주)마인드리퍼블릭,마케팅·광고·분석웹기획·PM 외,"경력 2년↑
학력무관",서울 서초구,정규직
94,(주)디에이치웰리빙,총무·법무·사무경리·출납·결산 외,"경력무관
학력무관",서울 강남구,정규직
95,에이치아이여성의원,경리·출납·결산의료기타직,"2 ~ 5년
대학교(4년)↑",서울 강서구,정규직
96,예암 세무회계,경리·출납·결산세무·회계·CPA,"신입 · 경력
고졸↑",서울 송파구,정규직
97,(주)하나인텍,생산·제조·포장·조립,"경력무관
학력무관",충남 천안시 서북구,정규직
98,동작정상어학원,초중고·특수학교입시·보습·속셈학원 외,"신입 · 경력
대학교(4년)↑",서울 동작구,정규직
99,바른부부한의원,간호조무사,"경력무관
고졸↑",전남 나주시,정규직
100,(주)유니젯,기계·기계설비전기·전자·제어 외,"경력무관
대학(2,3년)↑",경기 화성시,정규직
101,(주)생각자국,전시·공간디자인건축·인테리어·설계,"경력무관
대학(2,3년)↑",서울 마포구,정규직
102,(주)퍼스트인코리아,생산관리·품질관리생산·제조·포장·조립,"경력무관
학력무관",부산전체,정규직
103,(주)세이프시티,현장·시공·감리·공무,"경력무관
학력무관",경기 화성시,정규직
104,(주)스티븐스,안내·도우미·나레이터호텔·카지노·콘도,"경력무관
학력무관",경기 성남시 수정구,계약직
105,(주)익스트러스,IT·솔루션영업,"신입 · 경력
학력무관",서울 구로구,정규직
106,(주)엔아이티글로벌,기계·기계설비전기·전자·제어 외,"경력무관
대학(2,3년)↑",경기 성남시 중원구,정규직
107,오성회계법인,회계·재무·세무·IR,"5 ~ 20년
학력무관",서울 강남구,정규직
108,(주)부국산업개발,중장비·화물기계·기계설비 외,"경력무관
학력무관",경북 경산시,정규직 · 계약직
109,㈜KTS솔루션스,보안·경호·안전안전·품질·검사·관리,"경력무관
학력무관",충남 당진시,계약직
110,(주)창마루,경리·출납·결산,"3 ~ 7년
대학교(4년)↑",경기 화성시,정규직
111,(주)퀀텍,생산·제조·포장·조립,"경력무관
학력무관",경기 하남시,계약직
112,원민건축사사무소,설계·CAD·CAM건축·인테리어·설계,"경력 2년↑
학력무관",서울 용산구,정규직
113,주식회사 패리에트,웹기획·PM컨텐츠·사이트운영,"신입 · 경력
대학(2,3년)↑",서울 강남구,정규직
114,파이데이아학원,입시·보습·속셈학원,"2 ~ 15년
대학교(4년)↑",인천 남동구,정규직
115,㈜소포스,생산·제조·포장·조립,"경력무관
고졸↑",대구 달성군,정규직
116,(주)해피프린스,마케팅·광고·분석웹디자인,"경력 1년↑
대학(2,3년)↑",서울 종로구,정규직 · 계약직
117,(주)개미집소프트,응용프로그램개발,"신입 · 경력
학력무관",서울 영등포구,정규직
118,(주)BGF휴먼넷,물류·유통·운송구매·자재·재고 외,"신입
학력무관",서울 강서구,정규직
119,(주)아이넷빌더,서버·네트워크·보안,"신입 · 경력
대학(2,3년)↑",서울 영등포구,정규직
120,두루이디에스(주),웹마스터·QA·테스터게임·Game,"5 ~ 10년
대학(2,3년)↑",서울 서초구,정규직
121,(주)에스디테크놀러지,AS·서비스·수리기계·기계설비 외,"경력무관
학력무관",경기 광주시,정규직
122,브릴린의원,미용·피부관리·애견의료기타직,"경력무관
학력무관",서울 강남구,정규직
123,(주)두현아이티에스,컨텐츠·사이트운영응용프로그램개발,"신입 · 경력
학력무관",경북 구미시,정규직
124,(주)엘원,현장·시공·감리·공무,"경력무관
학력무관",경기 용인시 기흥구,정규직 · 계약직
125,빈스마켓,외식·식음료판매·매장관리,"경력 1년↑
학력무관",경기 성남시 분당구,파트
126,서울바이오시스(주),생산관리·품질관리반도체·디스플레이·LCD 외,"경력무관
학력무관",경기 안산시 단원구,계약직
127,(주)오스본코리아,물류·유통·운송구매·자재·재고,"경력무관
학력무관",부산 강서구,정규직
128,(주)삼구아이앤씨,물류·유통·운송,"경력무관
고졸↑",충북 음성군,정규직 · 계약직
129,(주)제노레이,서버·네트워크·보안ERP·시스템분석·설계 외,"3 ~ 6년
대학교(4년)↑",경기 성남시 중원구,정규직
130,필즈엔지니어링,화학·에너지건축·인테리어·설계 외,"경력 3년↑
대학(2,3년)↑",서울 금천구,정규직 · 계약직
131,(주)키스템프,총무·법무·사무현장·시공·감리·공무,"신입 · 경력
대학(2,3년)↑",서울 강서구,정규직
132,(주)대려인터내셔날,해외영업·무역영업,"신입
대학교(4년)↑",경기 하남시,정규직
133,대성어패럴,물류·유통·운송판매·매장관리,"경력무관
학력무관",경기 화성시,정규직
134,(주)태웅메디칼,해외영업·무역영업상품기획·MD 외,"경력 1년↑
대학(2,3년)↑",경기 고양시 일산동구,정규직
135,TLT-TURBO KOREA,기계·기계설비,"경력 7년↑
대학교(4년)↑",서울 마포구,정규직
136,(주)제노레이,해외영업·무역영업기술영업 외,"3 ~ 12년
대학(2,3년)↑",경기 성남시 중원구,정규직
137,짬뽕지존일산점,외식·식음료,"경력 5년↑
학력무관",경기 고양시 일산동구,정규직
138,공주한의원,간호조무사사무·원무·코디 외,"신입 · 경력
고졸↑",경기 의정부시,정규직 · 계약직
139,에이씨아이건설(주),건축·인테리어·설계,"경력무관
학력무관",서울 강남구,정규직
140,한화솔루션(주) 갤러리아 명품관,외식·식음료판매·매장관리,"경력 1년↑
대학(2,3년)↑",서울 강남구,파견직
141,주식회사 한울로지텍,물류·유통·운송중장비·화물,"경력무관
고졸↑",경기 시흥시,정규직
142,태성회계법인,경리·출납·결산,"3 ~ 10년
대학(2,3년)↑",서울 강남구,정규직
143,(주)알에스컴퍼니,일반영업영업기획·관리·지원 외,"경력무관
학력무관",서울 강북구,위촉직 · 프리랜서
144,태형건설(주),토목·조경·도시·측량현장·시공·감리·공무,"경력 8년↑
학력무관",충북 괴산군,정규직
145,(주)금화글로벌,상품기획·MD의류·패션·잡화디자인 외,"경력무관
대학(2,3년)↑",서울 은평구,정규직
146,성풍양행(주),물류·유통·운송일반영업 외,"신입
고졸↑",서울 강남구,정규직
147,(주)비츠,기획·전략·경영사무보조·문서작성,"경력무관
학력무관",경기 성남시 분당구,정규직
148,후레쉬월드(주),경리·출납·결산사무보조·문서작성,"경력 1년↑
대학(2,3년)↑",경기 남양주시,정규직
149,주식회사 티엠디교육그룹,사무보조·문서작성교육기획·교재,"경력무관
대학(2,3년)↑",서울 서초구,정규직 · 계약직
150,리보스,물류·유통·운송,"경력무관
고졸↑",경기 남양주시,정규직
151,(주)블리비네트워크,미용·피부관리·애견간호조무사 외,"신입 · 경력
고졸↑",울산 남구,정규직
152,㈜베페,마케팅·광고·분석전시·컨벤션·세미나,"신입 · 경력
대학(2,3년)↑",서울 강남구,정규직
153,(주)프로에스콤,보안·경호·안전안전·품질·검사·관리,"경력무관
학력무관",경기 성남시 수정구,계약직
154,세무법인 송우 방배지점,경리·출납·결산,"신입 · 경력
학력무관",서울 서초구,정규직
155,(주)비즈니스서비스그룹,서버·네트워크·보안IT·디자인·컴퓨터교육,"신입 · 경력
대학(2,3년)↑",서울 영등포구,계약직
156,(주)민플래닝,홍보·PR·사보마케팅·광고·분석 외,"경력무관
대학(2,3년)↑",서울 금천구,정규직
157,학교법인 숭실대학교 숭실호스피탈리티직..,대학교수·행정직,"신입
학력무관",서울 동작구,계약직
158,(주)맨파워그룹코리아,총무·법무·사무하드웨어·소프트웨어 외,"신입 · 경력
학력무관",서울 종로구,아르바이트 · 파견직
159,(주)지컴,그래픽디자인·CG출판·편집디자인 외,"신입 · 경력
대학(2,3년)↑",서울 서초구,정규직
160,(주) 링블코리아,마케팅·광고·분석,"신입
대학교(4년)↑",서울 종로구,인턴직
161,(주)리더스21,생산관리·품질관리반도체·디스플레이·LCD 외,"경력무관
학력무관",충남 천안시 서북구,정규직
162,(주)스캣커뮤니케이션,홍보·PR·사보마케팅·광고·분석 외,"경력 3년↑
대학교(4년)↑",서울 마포구,정규직
163,(주)몽태랑인터내셔날,응용프로그램개발,"3 ~ 5년
대학(2,3년)↑",경기 하남시,정규직
164,(주)세스코라이프케어,AS·서비스·수리일반영업 외,"경력무관
학력무관",부산 중구,위촉직 · 프리랜서
165,(주)유림산업,화학·에너지생산·제조·포장·조립,"신입
학력무관",경기 시흥시,정규직
166,(주)바로인터랙티브,일반영업광고영업 외,"경력무관
학력무관",서울 금천구,정규직 · 위촉직
167,(주)맨파워그룹코리아,총무·법무·사무비서·안내·수행원 외,"신입 · 경력
대학(2,3년)↑",서울 영등포구,계약직 · 파견직
168,(주)아트엠플러스,홍보·PR·사보마케팅·광고·분석 외,"경력 3년↑
대학교(4년)↑",서울 강남구,정규직
169,(주)보듬컴퍼니,고객센터·CSQA·CS강사·수퍼바이저,"2 ~ 5년
학력무관",경기 남양주시,정규직
170,지구촌교회,사무보조·문서작성회계·재무·세무·IR 외,"신입 · 경력
학력무관",경기 성남시 분당구,정규직
171,대치학원,입시·보습·속셈학원,"경력 3년↑
대학교(4년)↑",인천 동구,정규직 · 전임
172,브이스토리,컨텐츠·사이트운영응용프로그램개발 외,"경력무관
학력무관",경기 부천시,정규직
173,저스트핏,레저·스포츠,"경력무관
학력무관",경기 성남시 분당구,정규직
174,(주)헬릭스테크,웹마스터·QA·테스터응용프로그램개발 외,"신입 · 경력
대학교(4년)↑",서울 서초구,정규직
175,(주)위즈디자인랩,그래픽디자인·CG출판·편집디자인 외,"신입 · 경력
대학(2,3년)↑",서울 서대문구,정규직 · 인턴직
176,(주)청아공원,안내·도우미·나레이터일반영업 외,"경력무관
고졸↑",경기 고양시 일산동구,정규직
177,버그클리닉,AS·서비스·수리,"경력무관
학력무관",부산 부산진구,파트 · 계약직
178,(주)소키씨앤티,마케팅·광고·분석그래픽디자인·CG 외,"신입 · 경력
대학(2,3년)↑",서울 서초구,정규직
179,서울성모BNP의원,간호조무사사무·원무·코디,"경력무관
고졸↑",서울 서초구,정규직
180,(주)하나피앤씨,총무·법무·사무경리·출납·결산 외,"신입
학력무관",경기 시흥시,정규직 · 인턴직
181,케어룸의료산업(주),총무·법무·사무경리·출납·결산,"경력 2년↑
대학(2,3년)↑",경북 경산시,정규직
182,태경농산㈜,일반영업,"경력 5년↑
대학(2,3년)↑",서울 동작구,정규직
183,주식회사 민성테크,반도체·디스플레이·LCD생산·제조·포장·조립,"경력무관
학력무관",충남 아산시,정규직
184,(주)비책,동영상·편집·코덱카메라·조명·미술 외,"경력 2년↑
학력무관",서울 강남구,정규직
185,CJ Telenix,경리·출납·결산,"신입 · 경력
고졸↑",서울 구로구,계약직
186,맥스트레이딩,총무·법무·사무,"경력무관
대학교(4년)↑",경기 고양시 덕양구,정규직
187,(주)맨파워그룹코리아,홍보·PR·사보마케팅·광고·분석 외,"경력무관
대학(2,3년)↑",서울 강동구,계약직 · 파견직
188,(주)에이아이스페라,웹개발웹디자인,"경력 3년↑
학력무관",서울 성동구,정규직 · 병역특례
189,(주)더블유아일랜드,해외영업·무역영업구매·자재·재고 외,"경력무관
학력무관",서울 강남구,정규직
190,금수복국 해운대,요리·제빵사·영양사,"신입 · 경력
고졸↑",부산 해운대구,정규직
191,(주)밀텍산업,물류·유통·운송구매·자재·재고 외,"신입 · 경력
학력무관",서울 서초구,정규직
192,시원,사무보조·문서작성,"경력무관
학력무관",서울 강서구,정규직
193,(주)피처링,웹개발,"2 ~ 15년
대학교(4년)↑",서울 금천구,정규직 · 계약직
194,(주)이지트래픽,웹개발,"경력무관
학력무관",경기 안양시 동안구,정규직 · 계약직
195,(주)맨파워그룹코리아,사무보조·문서작성채권·보험·보상·심사,"경력 1년↑
대학교(4년)↑",서울 종로구,계약직 · 파견직
196,(주)에스투컴퍼니(S2 Company),경리·출납·결산사무보조·문서작성 외,"경력무관
학력무관",서울 동대문구,정규직
197,에스티시스템(주),현장·시공·감리·공무안전·품질·검사·관리,"경력무관
학력무관",경기 평택시,계약직
198,부리(BOURIE),의류·패션·잡화디자인,"신입 · 경력
학력무관",서울 성동구,정규직
199,주식회사 외대어학원 세종,외국어·어학원,"경력무관
대학교(4년)↑",세종 세종특별자치시,정규직 · 전임
200,(주)제이엘메디랩스,기계·기계설비설계·CAD·CAM 외,"경력무관
대학교(4년)↑",서울 관악구,정규직
201,블루필(주),물류·유통·운송고객센터·CS,"신입 · 경력
학력무관",경기 성남시 분당구,정규직
202,(주)이에스사이언스,연구소·R&D,"신입
대학교(4년)↑",충남 천안시 서북구,정규직
203,(주)아토컴퍼니,일반영업영업기획·관리·지원,"경력 1년↑
고졸↑",서울 강남구,정규직 · 계약직
204,(주)해우리홀딩스,외식·식음료판매·매장관리,"5 ~ 20년
고졸↑",서울 강남구,정규직
205,(주)서울아카데미,초중고·특수학교학원관리·운영·상담 외,"경력무관
대학교(4년)↑",서울 강남구,정규직 · 계약직
206,(재)한국건설안전기술원,토목·조경·도시·측량안전·품질·검사·관리,"신입 · 경력
고졸↑",경기 성남시 수정구,정규직
207,(주)맨파워그룹코리아,서버·네트워크·보안IT·디자인·컴퓨터교육 외,"신입 · 경력
학력무관",서울 종로구,파견직
208,(주)웨딩미,동영상·편집·코덱카메라·조명·미술 외,"신입
학력무관",서울 강남구,정규직 · 계약직
209,(주)디블렌트,총무·법무·사무경리·출납·결산 외,"신입 · 경력
대학(2,3년)↑",서울 강남구,정규직
210,(주)소프트인,웹개발퍼블리싱·UI개발,"경력 2년↑
학력무관",서울 구로구,정규직
211,(주)제스트릭스,물류·유통·운송해외영업·무역영업 외,"경력무관
대학교(4년)↑",서울 서초구,정규직
212,씨엔티컴포넌츠(주),구매·자재·재고,"경력무관
학력무관",서울 강남구,정규직
213,까사미아창고형아울렛서대구점,판매·매장관리,"경력무관
학력무관",대구 서구,정규직 · 아르바이트
214,(주)맨파워그룹코리아,경리·출납·결산사무보조·문서작성 외,"경력무관
고졸↑",서울 송파구,계약직 · 파견직
215,뷰티몬코리아,마케팅·광고·분석제품·산업디자인 외,"신입 · 경력
학력무관",서울 송파구,정규직
216,(주)알에프엑스소프트,웹개발응용프로그램개발,"경력무관
고졸↑",경기 안양시 동안구,정규직
217,스마트건물관리,건축·인테리어·설계,"경력무관
학력무관",경남 김해시,계약직 · 프리랜서
218,(주)스마트스코어,기획·전략·경영서버·네트워크·보안 외,"경력
학력무관",서울 강남구,정규직
219,더한옥호텔앤리조트(주),현장·시공·감리·공무,"경력 5년↑
대학(2,3년)↑",강원 영월군,정규직
220,(주)도젠소프트,웹개발,"경력무관
대학(2,3년)↑",서울 서초구,정규직
221,디메디코리아,마케팅·광고·분석컨텐츠·사이트운영 외,"경력무관
학력무관",부산 북구,정규직
222,서울특별시 간호조무사회,경리·출납·결산,"신입 · 경력
학력무관",서울 용산구,계약직
223,(주)애스피,생산·제조·포장·조립,"경력무관
학력무관",세종 세종특별자치시,정규직
224,글로벌산업(주),기술영업,"경력무관
고졸↑",경기 시흥시,정규직
225,Plusjun Studios,고객센터·CS카메라·조명·미술,"경력무관
학력무관",서울 성동구,정규직
226,한동정보통신,사무보조·문서작성,"신입 · 경력
대학(2,3년)↑",경기 안양시 동안구,정규직 · 계약직
227,(주)와이즈스톤,웹마스터·QA·테스터하드웨어·소프트웨어,"경력 3년↑
대학(2,3년)↑",서울 서초구,계약직
228,센텀코어의원,미용·피부관리·애견간호조무사,"경력무관
학력무관",부산 해운대구,계약직 · 프리랜서
229,(주)세움플래닛,마케팅·광고·분석,"3 ~ 15년
학력무관",서울 금천구,정규직
230,(주)로지올,기획·전략·경영웹기획·PM,"3 ~ 10년
학력무관",서울 서초구,정규직
231,본투비영어학원,외국어·어학원,"경력무관
대학교(4년)↑",대구 달서구,프리랜서
232,(주)세강산업,금속·금형생산관리·품질관리 외,"경력무관
학력무관",울산 울주군,정규직
233,(주)라비오뜨,일반영업,"경력 2년↑
학력무관",서울 서초구,정규직
234,(주)메디위드,비서·안내·수행원,"경력무관
학력무관",부산 수영구,정규직
235,주식회사 BBH컴퍼니,교육기획·교재,"경력무관
대학교(4년)↑",서울 강남구,정규직
236,패션지오(주),상품기획·MD의류·패션·잡화디자인 외,"경력무관
학력무관",서울 강남구,정규직
237,바스엔(BATH N),일반영업판매·매장관리 외,"경력무관
학력무관",인천 서구,정규직
238,(주)지원,전기·전자·제어,"경력무관
학력무관",울산 동구,아르바이트 · 프리랜서
239,(주)파인디지털,응용프로그램개발시스템개발 외,"5 ~ 10년
대학교(4년)↑",경기 성남시 분당구,정규직
240,아스펜스(주),웹개발응용프로그램개발 외,"3 ~ 10년
대학(2,3년)↑",경기 의왕시,정규직
241,동호에이치알(주),금융·보험영업영업기획·관리·지원 외,"경력무관
고졸↑",경기 광명시,계약직
242,네오다임(주),경리·출납·결산마케팅·광고·분석 외,"신입 · 경력
학력무관",서울 서초구,정규직 · 계약직
243,(주)아이엔지스토리,상품기획·MD판매·매장관리 외,"경력 3년↑
학력무관",부산 해운대구,정규직
244,맨파워코리아,총무·법무·사무사무보조·문서작성,"경력무관
고졸↑",세종 세종특별자치시,계약직 · 파견직
245,안녕테이블,요리·제빵사·영양사,"신입 · 경력
학력무관",부산 연제구,정규직
246,(주)키스템프,총무·법무·사무TM·인바운드 외,"경력무관
학력무관",서울 종로구,계약직
247,에스테크건설(주),건축·인테리어·설계부동산·개발·경매·분양 외,"신입 · 경력
고졸↑",서울 성동구,정규직
248,세무법인 송우 방배지점,경리·출납·결산,"신입 · 경력
학력무관",서울 서초구,정규직
249,(주)우원기술,회계·재무·세무·IR,"경력 2년↑
학력무관",경기 평택시,정규직
250,(주)씨앤씨,물류·유통·운송중장비·화물 외,"신입 · 경력
고졸↑",충북 청주시 흥덕구,정규직 · 병역특례
